city,city_ascii,state_id,state_name
Cedar Rapids,Cedar Rapids,IA,Iowa
Sioux Falls,Sioux Falls,SD,South Dakota
Huntington,Huntington,WV,West Virginia
Ontario,Ontario,CA,California
Hagerstown,Hagerstown,MD,Maryland
Erie,Erie,PA,Pennsylvania
Vancouver,Vancouver,WA,Washington
Nampa,Nampa,ID,Idaho
Spartanburg,Spartanburg,SC,South Carolina
Gastonia,Gastonia,NC,North Carolina
Fort Lauderdale,Fort Lauderdale,FL,Florida
Lorain,Lorain,OH,Ohio
Murfreesboro,Murfreesboro,TN,Tennessee
High Point,High Point,NC,North Carolina
Newport News,Newport News,VA,Virginia
Rancho Cucamonga,Rancho Cucamonga,CA,California
Hemet,Hemet,CA,California
Santa Cruz,Santa Cruz,CA,California
Danbury,Danbury,CT,Connecticut
Peoria,Peoria,AZ,Arizona
Oceanside,Oceanside,CA,California
Elk Grove,Elk Grove,CA,California
Pembroke Pines,Pembroke Pines,FL,Florida
Vallejo,Vallejo,CA,California
Garden Grove,Garden Grove,CA,California
Enterprise,Enterprise,NV,Nevada
Medford,Medford,OR,Oregon
Cary,Cary,NC,North Carolina
Marysville,Marysville,WA,Washington
Corona,Corona,CA,California
Ocala,Ocala,FL,Florida
Fredericksburg,Fredericksburg,VA,Virginia
Gainesville,Gainesville,GA,Georgia
Manchester,Manchester,NH,New Hampshire
Bayamón,Bayamon,PR,Puerto Rico
Champaign,Champaign,IL,Illinois
Alexandria,Alexandria,VA,Virginia
Hayward,Hayward,CA,California
Springfield,Springfield,IL,Illinois
Lakewood,Lakewood,CO,Colorado
Lafayette,Lafayette,IN,Indiana
Frederick,Frederick,MD,Maryland
Lake Charles,Lake Charles,LA,Louisiana
Odessa,Odessa,TX,Texas
Tuscaloosa,Tuscaloosa,AL,Alabama
Warner Robins,Warner Robins,GA,Georgia
Palmdale,Palmdale,CA,California
Hollywood,Hollywood,FL,Florida
Midland,Midland,TX,Texas
Leesburg,Leesburg,FL,Florida
Port Arthur,Port Arthur,TX,Texas
Muskegon,Muskegon,MI,Michigan
Macon,Macon,GA,Georgia
Kansas City,Kansas City,KS,Kansas
Sunnyvale,Sunnyvale,CA,California
Pomona,Pomona,CA,California
Escondido,Escondido,CA,California
Pasadena,Pasadena,TX,Texas
New Bedford,New Bedford,MA,Massachusetts
Fairfield,Fairfield,CA,California
Naperville,Naperville,IL,Illinois
Bellevue,Bellevue,WA,Washington
Binghamton,Binghamton,NY,New York
Elkhart,Elkhart,IN,Indiana
Topeka,Topeka,KS,Kansas
Joliet,Joliet,IL,Illinois
Beaumont,Beaumont,TX,Texas
Paterson,Paterson,NJ,New Jersey
Merced,Merced,CA,California
Pueblo,Pueblo,CO,Colorado
Tyler,Tyler,TX,Texas
Torrance,Torrance,CA,California
Yuma,Yuma,AZ,Arizona
Metairie,Metairie,LA,Louisiana
Surprise,Surprise,AZ,Arizona
Columbia,Columbia,MO,Missouri
Athens,Athens,GA,Georgia
Roseville,Roseville,CA,California
Thornton,Thornton,CO,Colorado
Miramar,Miramar,FL,Florida
Pasadena,Pasadena,CA,California
Mesquite,Mesquite,TX,Texas
Olathe,Olathe,KS,Kansas
Santa Maria,Santa Maria,CA,California
Houma,Houma,LA,Louisiana
Carrollton,Carrollton,TX,Texas
Grand Junction,Grand Junction,CO,Colorado
Charleston,Charleston,WV,West Virginia
Orange,Orange,CA,California
Fullerton,Fullerton,CA,California
Greeley,Greeley,CO,Colorado
Carolina,Carolina,PR,Puerto Rico
Las Cruces,Las Cruces,NM,New Mexico
Panama City,Panama City,FL,Florida
Harlingen,Harlingen,TX,Texas
West Valley City,West Valley City,UT,Utah
Hampton,Hampton,VA,Virginia
Warren,Warren,MI,Michigan
Mauldin,Mauldin,SC,South Carolina
Bloomington,Bloomington,IL,Illinois
Coral Springs,Coral Springs,FL,Florida
Round Rock,Round Rock,TX,Texas
Yakima,Yakima,WA,Washington
Sterling Heights,Sterling Heights,MI,Michigan
Kent,Kent,WA,Washington
Burlington,Burlington,NC,North Carolina
Bellingham,Bellingham,WA,Washington
Santa Clara,Santa Clara,CA,California
Racine,Racine,WI,Wisconsin
Greenville,Greenville,NC,North Carolina
Stamford,Stamford,CT,Connecticut
Elizabeth,Elizabeth,NJ,New Jersey
Johnson City,Johnson City,TN,Tennessee
Lynchburg,Lynchburg,VA,Virginia
Simi Valley,Simi Valley,CA,California
Fort Smith,Fort Smith,AR,Arkansas
Kenosha,Kenosha,WI,Wisconsin
Norman,Norman,OK,Oklahoma
South Lyon,South Lyon,MI,Michigan
Boulder,Boulder,CO,Colorado
Abilene,Abilene,TX,Texas
Lehigh Acres,Lehigh Acres,FL,Florida
Pearland,Pearland,TX,Texas
Berkeley,Berkeley,CA,California
Richardson,Richardson,TX,Texas
Redding,Redding,CA,California
Arvada,Arvada,CO,Colorado
East Los Angeles,East Los Angeles,CA,California
St. George,St. George,UT,Utah
Billings,Billings,MT,Montana
Yuba City,Yuba City,CA,California
Rochester,Rochester,MN,Minnesota
Leominster,Leominster,MA,Massachusetts
Kingsport,Kingsport,TN,Tennessee
Duluth,Duluth,MN,Minnesota
Rock Hill,Rock Hill,SC,South Carolina
Gilroy,Gilroy,CA,California
Cambridge,Cambridge,MA,Massachusetts
Sugar Land,Sugar Land,TX,Texas
Texas City,Texas City,TX,Texas
Iowa City,Iowa City,IA,Iowa
Saginaw,Saginaw,MI,Michigan
Chico,Chico,CA,California
Dover,Dover,DE,Delaware
Clearwater,Clearwater,FL,Florida
Coeur d'Alene,Coeur d'Alene,ID,Idaho
Seaside,Seaside,CA,California
Independence,Independence,MO,Missouri
West Jordan,West Jordan,UT,Utah
Brandon,Brandon,FL,Florida
Bloomington,Bloomington,IN,Indiana
El Monte,El Monte,CA,California
North Charleston,North Charleston,SC,South Carolina
Carlsbad,Carlsbad,CA,California
St. Cloud,St. Cloud,MN,Minnesota
Temecula,Temecula,CA,California
Clovis,Clovis,CA,California
Meridian,Meridian,ID,Idaho
The Woodlands,The Woodlands,TX,Texas
Ponce,Ponce,PR,Puerto Rico
Westminster,Westminster,CO,Colorado
Costa Mesa,Costa Mesa,CA,California
Monroe,Monroe,LA,Louisiana
Utica,Utica,NY,New York
Pompano Beach,Pompano Beach,FL,Florida
West Palm Beach,West Palm Beach,FL,Florida
Waterloo,Waterloo,IA,Iowa
Everett,Everett,WA,Washington
El Centro,El Centro,CA,California
Santa Fe,Santa Fe,NM,New Mexico
Downey,Downey,CA,California
Spring Hill,Spring Hill,FL,Florida
Lowell,Lowell,MA,Massachusetts
Centennial,Centennial,CO,Colorado
Elgin,Elgin,IL,Illinois
Richmond,Richmond,CA,California
Broken Arrow,Broken Arrow,OK,Oklahoma
Miami Gardens,Miami Gardens,FL,Florida
Bend,Bend,OR,Oregon
Burlington,Burlington,VT,Vermont
Jurupa Valley,Jurupa Valley,CA,California
Sandy Springs,Sandy Springs,GA,Georgia
Gresham,Gresham,OR,Oregon
Lewisville,Lewisville,TX,Texas
Hillsboro,Hillsboro,OR,Oregon
San Buenaventura,San Buenaventura,CA,California
Jacksonville,Jacksonville,NC,North Carolina
Pottstown,Pottstown,PA,Pennsylvania
Inglewood,Inglewood,CA,California
League City,League City,TX,Texas
Eau Claire,Eau Claire,WI,Wisconsin
Turlock,Turlock,CA,California
Temple,Temple,TX,Texas
Sioux City,Sioux City,IA,Iowa
Salisbury,Salisbury,MD,Maryland
Davie,Davie,FL,Florida
Daly City,Daly City,CA,California
Highlands Ranch,Highlands Ranch,CO,Colorado
Allen,Allen,TX,Texas
West Covina,West Covina,CA,California
Sparks,Sparks,NV,Nevada
Wichita Falls,Wichita Falls,TX,Texas
San Mateo,San Mateo,CA,California
Columbia,Columbia,MD,Maryland
Norwalk,Norwalk,CA,California
Rialto,Rialto,CA,California
Manteca,Manteca,CA,California
Arden-Arcade,Arden-Arcade,CA,California
El Cajon,El Cajon,CA,California
Burbank,Burbank,CA,California
Longmont,Longmont,CO,Colorado
Renton,Renton,WA,Washington
Vista,Vista,CA,California
Logan,Logan,UT,Utah
Prescott Valley,Prescott Valley,AZ,Arizona
Vacaville,Vacaville,CA,California
Edinburg,Edinburg,TX,Texas
Carmel,Carmel,IN,Indiana
Spokane Valley,Spokane Valley,WA,Washington
San Angelo,San Angelo,TX,Texas
La Crosse,La Crosse,WI,Wisconsin
Idaho Falls,Idaho Falls,ID,Idaho
Holland,Holland,MI,Michigan
Charlottesville,Charlottesville,VA,Virginia
Longview,Longview,TX,Texas
Tracy,Tracy,CA,California
Boca Raton,Boca Raton,FL,Florida
Lafayette,Lafayette,CO,Colorado
Lee's Summit,Lee's Summit,MO,Missouri
Rio Rancho,Rio Rancho,NM,New Mexico
South Fulton,South Fulton,GA,Georgia
Beaverton,Beaverton,OR,Oregon
Lawrence,Lawrence,KS,Kansas
Bismarck,Bismarck,ND,North Dakota
Orem,Orem,UT,Utah
Middletown,Middletown,OH,Ohio
San Tan Valley,San Tan Valley,AZ,Arizona
San Marcos,San Marcos,CA,California
Sandy,Sandy,UT,Utah
Federal Way,Federal Way,WA,Washington
Mandeville,Mandeville,LA,Louisiana
Hesperia,Hesperia,CA,California
Brockton,Brockton,MA,Massachusetts
Compton,Compton,CA,California
Riverview,Riverview,FL,Florida
Fishers,Fishers,IN,Indiana
Sunrise,Sunrise,FL,Florida
Bowling Green,Bowling Green,KY,Kentucky
Roswell,Roswell,GA,Georgia
Menifee,Menifee,CA,California
Plantation,Plantation,FL,Florida
Dover,Dover,NH,New Hampshire
Quincy,Quincy,MA,Massachusetts
Portsmouth,Portsmouth,VA,Virginia
Chino,Chino,CA,California
Lynn,Lynn,MA,Massachusetts
Edmond,Edmond,OK,Oklahoma
Hanford,Hanford,CA,California
Dearborn,Dearborn,MI,Michigan
Livonia,Livonia,MI,Michigan
South Gate,South Gate,CA,California
Vineland,Vineland,NJ,New Jersey
Florence,Florence,SC,South Carolina
Portsmouth,Portsmouth,NH,New Hampshire
Slidell,Slidell,LA,Louisiana
Lawton,Lawton,OK,Oklahoma
Kirkland,Kirkland,WA,Washington
Missoula,Missoula,MT,Montana
Auburn,Auburn,AL,Alabama
Rapid City,Rapid City,SD,South Dakota
Terre Haute,Terre Haute,IN,Indiana
Suffolk,Suffolk,VA,Virginia
Blacksburg,Blacksburg,VA,Virginia
Mount Pleasant,Mount Pleasant,SC,South Carolina
Carson,Carson,CA,California
Conroe,Conroe,TX,Texas
Alafaya,Alafaya,FL,Florida
Livermore,Livermore,CA,California
Westminster,Westminster,CA,California
Germantown,Germantown,MD,Maryland
Santa Monica,Santa Monica,CA,California
New Braunfels,New Braunfels,TX,Texas
Fall River,Fall River,MA,Massachusetts
Albany,Albany,GA,Georgia
Miami Beach,Miami Beach,FL,Florida
Norwalk,Norwalk,CT,Connecticut
San Leandro,San Leandro,CA,California
O'Fallon,O'Fallon,MO,Missouri
Newton,Newton,MA,Massachusetts
Muncie,Muncie,IN,Indiana
Citrus Heights,Citrus Heights,CA,California
State College,State College,PA,Pennsylvania
Town 'n' Country,Town 'n' Country,FL,Florida
Decatur,Decatur,IL,Illinois
Jackson,Jackson,MI,Michigan
Fort Myers,Fort Myers,FL,Florida
Goodyear,Goodyear,AZ,Arizona
Dalton,Dalton,GA,Georgia
Bryan,Bryan,TX,Texas
Waukegan,Waukegan,IL,Illinois
Hawthorne,Hawthorne,CA,California
Anderson,Anderson,IN,Indiana
Redwood City,Redwood City,CA,California
Hoover,Hoover,AL,Alabama
Lake Forest,Lake Forest,CA,California
Napa,Napa,CA,California
Whittier,Whittier,CA,California
Clifton,Clifton,NJ,New Jersey
Largo,Largo,FL,Florida
Bloomington,Bloomington,MN,Minnesota
Johns Creek,Johns Creek,GA,Georgia
Newport Beach,Newport Beach,CA,California
Mission,Mission,TX,Texas
Milpitas,Milpitas,CA,California
Troy,Troy,MI,Michigan
Madera,Madera,CA,California
Joplin,Joplin,MO,Missouri
Chino Hills,Chino Hills,CA,California
Alhambra,Alhambra,CA,California
Franklin,Franklin,TN,Tennessee
Melbourne,Melbourne,FL,Florida
Port Huron,Port Huron,MI,Michigan
Springfield,Springfield,OH,Ohio
Mountain View,Mountain View,CA,California
Zephyrhills,Zephyrhills,FL,Florida
St. Augustine,St. Augustine,FL,Florida
Flagstaff,Flagstaff,AZ,Arizona
Buena Park,Buena Park,CA,California
Pleasanton,Pleasanton,CA,California
Silver Spring,Silver Spring,MD,Maryland
Atascocita,Atascocita,TX,Texas
Westland,Westland,MI,Michigan
Auburn,Auburn,WA,Washington
Cranston,Cranston,RI,Rhode Island
Somerville,Somerville,MA,Massachusetts
Folsom,Folsom,CA,California
Springdale,Springdale,AR,Arkansas
Deerfield Beach,Deerfield Beach,FL,Florida
Warwick,Warwick,RI,Rhode Island
Cicero,Cicero,IL,Illinois
Farmington Hills,Farmington Hills,MI,Michigan
Newark,Newark,OH,Ohio
Williamsburg,Williamsburg,VA,Virginia
Brooklyn Park,Brooklyn Park,MN,Minnesota
Hattiesburg,Hattiesburg,MS,Mississippi
Alexandria,Alexandria,LA,Louisiana
Lawrence,Lawrence,MA,Massachusetts
Florence,Florence,AL,Alabama
Valdosta,Valdosta,GA,Georgia
Plymouth,Plymouth,MN,Minnesota
Buckeye,Buckeye,AZ,Arizona
Georgetown,Georgetown,TX,Texas
Cheyenne,Cheyenne,WY,Wyoming
Cedar Park,Cedar Park,TX,Texas
The Villages,The Villages,FL,Florida
Kokomo,Kokomo,IN,Indiana
Tustin,Tustin,CA,California
Lakewood,Lakewood,CA,California
Perris,Perris,CA,California
St. Joseph,St. Joseph,MO,Missouri
Flower Mound,Flower Mound,TX,Texas
Pharr,Pharr,TX,Texas
Pine Hills,Pine Hills,FL,Florida
Alton,Alton,IL,Illinois
Loveland,Loveland,CO,Colorado
Boynton Beach,Boynton Beach,FL,Florida
New Rochelle,New Rochelle,NY,New York
Anderson,Anderson,SC,South Carolina
Jonesboro,Jonesboro,AR,Arkansas
Lebanon,Lebanon,PA,Pennsylvania
Parma,Parma,OH,Ohio
Layton,Layton,UT,Utah
Elizabethtown,Elizabethtown,KY,Kentucky
Texarkana,Texarkana,TX,Texas
Alameda,Alameda,CA,California
Kankakee,Kankakee,IL,Illinois
Watsonville,Watsonville,CA,California
Porterville,Porterville,CA,California
Baytown,Baytown,TX,Texas
Upland,Upland,CA,California
Davis,Davis,CA,California
Camarillo,Camarillo,CA,California
South Jordan,South Jordan,UT,Utah
Battle Creek,Battle Creek,MI,Michigan
Bellflower,Bellflower,CA,California
San Marcos,San Marcos,TX,Texas
San Ramon,San Ramon,CA,California
Lake Jackson,Lake Jackson,TX,Texas
Bethlehem,Bethlehem,PA,Pennsylvania
Wyoming,Wyoming,MI,Michigan
Oshkosh,Oshkosh,WI,Wisconsin
Hammond,Hammond,IN,Indiana
Waldorf,Waldorf,MD,Maryland
Missouri City,Missouri City,TX,Texas
Pasco,Pasco,WA,Washington
Wheeling,Wheeling,WV,West Virginia
Kendall,Kendall,FL,Florida
Baldwin Park,Baldwin Park,CA,California
Rancho Cordova,Rancho Cordova,CA,California
Conway,Conway,AR,Arkansas
Gary,Gary,IN,Indiana
Altoona,Altoona,PA,Pennsylvania
Lodi,Lodi,CA,California
Arlington Heights,Arlington Heights,IL,Illinois
Bolingbrook,Bolingbrook,IL,Illinois
Rochester Hills,Rochester Hills,MI,Michigan
Winchester,Winchester,VA,Virginia
Framingham,Framingham,MA,Massachusetts
Hilton Head Island,Hilton Head Island,SC,South Carolina
Centreville,Centreville,VA,Virginia
Union City,Union City,CA,California
Owensboro,Owensboro,KY,Kentucky
Jackson,Jackson,TN,Tennessee
Cleveland,Cleveland,TN,Tennessee
Wausau,Wausau,WI,Wisconsin
Camden,Camden,NJ,New Jersey
Anniston,Anniston,AL,Alabama
Evanston,Evanston,IL,Illinois
Apple Valley,Apple Valley,CA,California
Mansfield,Mansfield,OH,Ohio
Caguas,Caguas,PR,Puerto Rico
Schaumburg,Schaumburg,IL,Illinois
Pocatello,Pocatello,ID,Idaho
Woodbury,Woodbury,MN,Minnesota
Southfield,Southfield,MI,Michigan
Ellicott City,Ellicott City,MD,Maryland
Dale City,Dale City,VA,Virginia
Maple Grove,Maple Grove,MN,Minnesota
Pittsburg,Pittsburg,CA,California
New Britain,New Britain,CT,Connecticut
Morgantown,Morgantown,WV,West Virginia
Mansfield,Mansfield,TX,Texas
Hammond,Hammond,LA,Louisiana
Dothan,Dothan,AL,Alabama
Harrisonburg,Harrisonburg,VA,Virginia
Wenatchee,Wenatchee,WA,Washington
Waukesha,Waukesha,WI,Wisconsin
Pawtucket,Pawtucket,RI,Rhode Island
Redmond,Redmond,WA,Washington
Lauderhill,Lauderhill,FL,Florida
Sumter,Sumter,SC,South Carolina
Redlands,Redlands,CA,California
Daphne,Daphne,AL,Alabama
Mount Vernon,Mount Vernon,WA,Washington
Weston,Weston,FL,Florida
St. Charles,St. Charles,MO,Missouri
Janesville,Janesville,WI,Wisconsin
Sherman,Sherman,TX,Texas
North Richland Hills,North Richland Hills,TX,Texas
Broomfield,Broomfield,CO,Colorado
El Paso de Robles,El Paso de Robles,CA,California
Bristol,Bristol,TN,Tennessee
Wilmington,Wilmington,DE,Delaware
Casas Adobes,Casas Adobes,AZ,Arizona
Walnut Creek,Walnut Creek,CA,California
Poinciana,Poinciana,FL,Florida
Lynwood,Lynwood,CA,California
Glen Burnie,Glen Burnie,MD,Maryland
Lehi,Lehi,UT,Utah
Passaic,Passaic,NJ,New Jersey
Homestead,Homestead,FL,Florida
West Bend,West Bend,WI,Wisconsin
Delray Beach,Delray Beach,FL,Florida
Sheboygan,Sheboygan,WI,Wisconsin
Lake Elsinore,Lake Elsinore,CA,California
Daytona Beach,Daytona Beach,FL,Florida
Los Lunas,Los Lunas,NM,New Mexico
Lima,Lima,OH,Ohio
Decatur,Decatur,AL,Alabama
Rocklin,Rocklin,CA,California
Rogers,Rogers,AR,Arkansas
Castle Rock,Castle Rock,CO,Colorado
Hanover,Hanover,PA,Pennsylvania
Bossier City,Bossier City,LA,Louisiana
Dubuque,Dubuque,IA,Iowa
Rockville,Rockville,MD,Maryland
Victoria,Victoria,TX,Texas
Saratoga Springs,Saratoga Springs,NY,New York
Guaynabo,Guaynabo,PR,Puerto Rico
Gaithersburg,Gaithersburg,MD,Maryland
Union City,Union City,NJ,New Jersey
Ames,Ames,IA,Iowa
West Des Moines,West Des Moines,IA,Iowa
South San Francisco,South San Francisco,CA,California
Yorba Linda,Yorba Linda,CA,California
Casper,Casper,WY,Wyoming
Palatine,Palatine,IL,Illinois
Corvallis,Corvallis,OR,Oregon
Ankeny,Ankeny,IA,Iowa
Mount Vernon,Mount Vernon,NY,New York
